change-speed,chepai-location,kilometer,price,shangpai-date,standard,title
手动,阜阳,7.42万公里,3.40,5年5个月,国五,宝骏-宝骏830 2017款 1.5L 手动舒适型 8座
手动,周口,5.27万公里,3.38,4年6个月,国五,宝骏-宝骏310W 2018款 1.5L 手动时尚型
自动,哈尔滨,3.43万公里,7.19,3年1个月,国五,宝骏-宝骏RS-5 2019款 1.5T CVT智能驾控旗舰版
手动,梧州,19.17万公里,3.00,4年6个月,国五,宝骏-宝骏830 2017款 1.5L 手动标准型 8座
手动,石家庄,8.79万公里,3.50,6年4个月,国五,宝骏-宝骏570 2015款 1.6L 手动豪华型
,,,,,,
,,,,,,
,,,,,,
手动,汕头,2.57万公里,4.20,6年2个月,国五,宝骏-宝骏570 2015款 1.6L 手动精英型
手动,柳州,5.46万公里,2.60,4年4个月,国五,宝骏-宝骏510 2018款 1.5L 手动舒适型
手动,连云港,7.89万公里,4.00,4年9个月,国五,宝骏-宝骏570 2017款 1.5T 手动豪华型
,,,,,,
,,,,,,
手动,宁波,7.40万公里,4.60,4年4个月,国五,宝骏-宝骏830 2017款 1.5L 手动标准型 8座
手动,梧州,12.05万公里,1.20,7年6个月,国四,宝骏-乐驰 2012款 改款 1.0L 手动P-TEC舒适型
手动,商丘,3.72万公里,3.50,5年10个月,国五,宝骏-宝骏570 2015款 1.6L 手动豪华型
,,,,,,
手动,东莞,4.87万公里,2.90,4年7个月,国五,宝骏-宝骏510 2018款 1.5L 手动豪华型
,,,,,,
手动,南宁,9.45万公里,1.98,5年2个月,国五,宝骏-宝骏310 2017款 1.2L 手动超值型
手动,宁波,7.71万公里,1.70,7年7个月,国五,宝骏-宝骏730 2013款 1.5L 手动进取型
,,,,,,
,,,,,,
自动,保定,5.88万公里,6.30,4年4个月,国五,宝骏-宝骏830 2018款 1.5T DCT风尚型 8座
手动,佛山,4.97万公里,3.88,5年8个月,国五,宝骏-宝骏570 2017款 1.6L 手动豪华型
手动,成都,3.82万公里,4.00,5年10个月,国四,宝骏-宝骏570 2017款 1.6L 手动豪华型
手动,佛山,3.11万公里,5.30,1年9个月,国六,宝骏-宝骏830 2019款 1.5T 手动时尚型 8座
手动,湛江,2.29万公里,3.80,1年8个月,国六,宝骏-宝骏310W 2018款 1.5L 手动舒适型
手动,大连,5.57万公里,3.50,4年10个月,国五,宝骏-宝骏830 2017款 1.5T 手动豪华型 8座
手动,商丘,13.16万公里,1.28,8年4个月,国四,宝骏-宝骏730 2013款 1.5L 手动精英型
自动,福州,6.53万公里,3.99,4年7个月,国五,宝骏-宝骏830 2018款 1.6L iAMT尊享型 8座
手动,郑州,3.14万公里,5.18,3年10个月,国五,宝骏-宝骏530 2016款 1.5T 手动豪华型
手动,廊坊,1.17万公里,5.00,5年1个月,国五,宝骏-宝骏510 2018款 1.5L 手动豪华型
自动,哈尔滨,9.94万公里,4.90,3年11个月,国四,宝骏-宝骏370 2016款 1.5L 自动豪华型
手动,廊坊,7.97万公里,3.50,7年4个月,国五,宝骏-宝骏830 2014款 1.5L 手动舒适型 8座
自动,海东,5.50万公里,4.28,4年7个月,国五,宝骏-宝骏510 2018款 1.5L 自动豪华型
自动,佛山,3.58万公里,4.60,3年11个月,国五,宝骏-宝骏510 2018款 1.5L 自动豪华型
自动,惠州,8.11万公里,3.88,5年10个月,国五,宝骏-宝骏570 2017款 1.6L iAMT豪华型
手动,青岛,6.28万公里,3.80,6年5个月,国五,宝骏-宝骏830 2017款 1.5L 手动舒适型 8座
自动,绥化,4.75万公里,5.80,3年9个月,国五,宝骏-宝骏530 2016款 1.5T DCT旗舰型
手动,邯郸,8.79万公里,4.00,3年9个月,国五,宝骏-宝骏830 2017款 1.5L 手动标准型 8座
,,,,,,
,,,,,,
自动,玉林,3.79万公里,4.00,3年10个月,国五,宝骏-宝骏370 2016款 1.5L 自动精英型
,,,,,,
,,,,,,
手动,连云港,9.57万公里,2.00,5年7个月,国四,宝骏-宝骏310 2017款 1.2L 手动豪华型
自动,韶关,1.61万公里,5.20,1年9个月,国六,宝骏-宝骏510 2019款 1.5L CVT乐享型
手动,惠州,8.71万公里,3.20,5年11个月,国五,宝骏-宝骏570 2015款 1.6L 手动舒适型
,,,,,,
自动,湖州,3.69万公里,5.30,2年11个月,国五,宝骏-宝骏530 2016款 1.5T DCT豪华型
手动,商丘,5.88万公里,2.30,4年2个月,国五,宝骏-宝骏310W 2018款 1.2L 手动超值型
自动,泰安,2.51万公里,3.70,3年10个月,国五,宝骏-宝骏310 2018款 1.5L 自动时尚型
自动,重庆,4.48万公里,6.50,2年4个月,国六,宝骏-宝骏RM-5 2019款 1.5T CVT 24小时在线精英型 5座
手动,清远,4.29万公里,3.68,6年5个月,国五,宝骏-宝骏570 2015款 1.6L 手动豪华型
