change-speed,chepai-location,kilometer,price,shangpai-date,standard,title
自动,成都,6.42万公里,21.30,7年1个月,国五,雷克萨斯-雷克萨斯NX 2015款 200t 全驱 锋尚版
,,,,,,
,,,,,,
,,,,,,
自动,南京,1.47万公里,28.50,1年10个月,国六,雷克萨斯-雷克萨斯ES 2020款 200 卓越版
自动,成都,6.14万公里,20.00,5年11个月,国五,雷克萨斯-雷克萨斯NX 2017款 200 全驱 锋尚版
自动,南宁,9.10万公里,23.00,5年4个月,国五,雷克萨斯-雷克萨斯ES 2015款 300h 舒适版
,,,,,,
自动,赣州,11.77万公里,31.00,5年7个月,国五,雷克萨斯-雷克萨斯RX 2017款 300 四驱典雅版
,,,,,,
自动,成都,16.33万公里,24.38,6年11个月,国五,雷克萨斯-雷克萨斯ES 2015款 300h 豪华版
,,,,,,
自动,苏州,3.12万公里,15.00,5年,国五,雷克萨斯-雷克萨斯CT 2014款 CT200h 舒适版 单色
,,,,,,
自动,合肥,13.55万公里,11.00,12年4个月,国四,雷克萨斯-雷克萨斯IS 2009款 300
,,,,,,
自动,佛山,18.65万公里,12.28,13年8个月,国三,雷克萨斯-雷克萨斯IS 2008款 300炫动特别版
,,,,,,
自动,广州,15.61万公里,12.38,11年11个月,国四,雷克萨斯-雷克萨斯ES 2010款 240 典雅版
自动,广州,14.34万公里,19.00,5年10个月,国五,雷克萨斯-雷克萨斯ES 2015款 200 精英版
,,,,,,
自动,昆明,10.13万公里,9.60,9年10个月,国四,雷克萨斯-雷克萨斯CT 2012款 CT200h 精英版
自动,大连,4.03万公里,20.90,6年7个月,国五,雷克萨斯-雷克萨斯IS 2015款 200t F SPORT
,,,,,,
自动,上海,13.99万公里,9.80,7年5个月,国五,雷克萨斯-雷克萨斯CT 2014款 CT200h 舒适版 单色
,,,,,,
自动,宁波,21.28万公里,9.30,12年4个月,国三,雷克萨斯-雷克萨斯ES 2010款 240 典雅版
自动,成都,15.88万公里,13.50,9年5个月,国四,雷克萨斯-雷克萨斯ES 2013款 250 精英版
,,,,,,
自动,上海,6.79万公里,16.50,6年11个月,国五,雷克萨斯-雷克萨斯ES 2014款 300h 舒适版
自动,成都,13.42万公里,20.60,7年9个月,国四,雷克萨斯-雷克萨斯ES 2014款 300h 精英版
,,,,,,
自动,南宁,8.35万公里,21.79,4年3个月,国五,雷克萨斯-雷克萨斯ES 2015款 200 精英版
,,,,,,
,,,,,,
自动,佛山,10.64万公里,31.38,4年,国五,雷克萨斯-雷克萨斯RX 2017款 300 两驱精英版
,,,,,,
,,,,,,
,,,,,,
自动,武汉,19.39万公里,16.00,9年,国四,雷克萨斯-雷克萨斯RX经典 2012款 280 典雅版
自动,佛山,6.55万公里,35.80,4年2个月,国五,雷克萨斯-雷克萨斯RX 2017款 300 两驱精英版
,,,,,,
自动,厦门,4.63万公里,24.70,7年3个月,国五,雷克萨斯-雷克萨斯RX经典 2013款 280 典雅版
自动,佛山,5.79万公里,31.00,4年1个月,国五,雷克萨斯-雷克萨斯NX 2018款 200 全驱 锋尚版
自动,宁波,14.74万公里,14.90,9年4个月,国四,雷克萨斯-雷克萨斯ES 2013款 300h 精英版
,,,,,,
自动,无锡,9.82万公里,11.50,7年11个月,国五,雷克萨斯-雷克萨斯CT 2014款 CT200h 舒适版 单色
,,,,,,
,,,,,,
,,,,,,
,,,,,,
自动,苏州,14.21万公里,9.00,9年,国四,雷克萨斯-雷克萨斯CT 2013款 CT200h 精英版
,,,,,,
自动,德阳,16.79万公里,8.00,14年,国三,雷克萨斯-雷克萨斯ES 2007款 350 豪华版
自动,上海,6.30万公里,14.60,10年4个月,国四,雷克萨斯-雷克萨斯IS 2011款 250 运动版
,,,,,,
,,,,,,
,,,,,,
自动,大庆,5.87万公里,18.50,9年3个月,国四,雷克萨斯-雷克萨斯ES 2013款 300h 豪华版
,,,,,,
,,,,,,
自动,福州,4.21万公里,26.50,3年6个月,国五,雷克萨斯-雷克萨斯NX 2016款 300h 前驱 锋尚版
自动,深圳,7.76万公里,31.00,5年8个月,国五,雷克萨斯-雷克萨斯RX 2017款 300 两驱舒适版
自动,广州,2.13万公里,27.50,2年2个月,国六,雷克萨斯-雷克萨斯NX 2016款 200 前驱 锋行版
自动,阳江,22.44万公里,12.50,10年6个月,国四,雷克萨斯-雷克萨斯IS 2011款 250 运动版
自动,上海,15.17万公里,6.00,13年10个月,国四,雷克萨斯-雷克萨斯ES 2007款 350 豪华版
自动,长春,7.64万公里,18.28,6年4个月,国四,雷克萨斯-雷克萨斯NX 2015款 200 前驱 锋行版
,,,,,,
,,,,,,
自动,乌鲁木齐,7.23万公里,34.98,3年,国五,雷克萨斯-雷克萨斯RX 2017款 300 两驱精英版
自动,东莞,6.68万公里,22.60,5年2个月,国五,雷克萨斯-雷克萨斯ES 2015款 200 精英版
,,,,,,
,,,,,,
自动,东莞,7.20万公里,168,2年10个月,国五,雷克萨斯-雷克萨斯LX 2019款 580 动感豪华版
,,,,,,
自动,北京,8.17万公里,21.50,7年1个月,国五,雷克萨斯-雷克萨斯NX 2015款 200 全驱 锋尚版
自动,汕尾,20.21万公里,19.80,15年2个月,国二,雷克萨斯-雷克萨斯LX 2005款 480
自动,北京,13.90万公里,20.00,10年,国四,雷克萨斯-雷克萨斯RX经典 2012款 280 典雅版
,,,,,,
,,,,,,
,,,,,,
,,,,,,
自动,上海,5.75万公里,88.00,2年7个月,国六,雷克萨斯-雷克萨斯LS 2016款 500h 行政版
自动,广州,1.03万公里,29.70,1年1个月,国六,雷克萨斯-雷克萨斯ES 2020款 200 卓越版
,,,,,,
自动,广州,16.24万公里,17.00,8年8个月,国四,雷克萨斯-雷克萨斯ES 2013款 300h 豪华版
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
自动,仙桃,2.00万公里,37.00,1年4个月,国六,雷克萨斯-雷克萨斯ES 2020款 300h 卓越版
自动,东莞,8.21万公里,28.80,3年9个月,国五,雷克萨斯-雷克萨斯NX 2018款 300h 前驱 锋尚版
,,,,,,
自动,成都,19.64万公里,21.88,6年5个月,国四,雷克萨斯-雷克萨斯NX 2015款 200t 全驱 锋尚版
自动,武汉,17.43万公里,20.00,12年8个月,国四,雷克萨斯-雷克萨斯RX经典 2009款 450h
,,,,,,
自动,唐山,2.93万公里,45.00,3年1个月,国五,雷克萨斯-雷克萨斯RX 2017款 300 四驱典雅版
,,,,,,
