change-speed,chepai-location,kilometer,price,shangpai-date,standard,title
自动,厦门,18.56万公里,6.50,7年10个月,国四,斯巴鲁-斯巴鲁XV 2014款 2.0i 精英版
自动,贵阳,4.79万公里,22.80,3年2个月,国六,斯巴鲁-森林人 2019款 2.0i 智擎旗舰版EyeSight
,,,,,,
,,,,,,
自动,潍坊,10.41万公里,10.50,8年5个月,国四,斯巴鲁-傲虎 2013款 2.5i 运动版
,,,,,,
,,,,,,
自动,成都,17.58万公里,4.30,11年2个月,国四,斯巴鲁-森林人 2011款 2.5XS 自动豪华版
自动,北京,9.12万公里,6.30,13年2个月,国四,斯巴鲁-森林人 2006款 2.0XS 自动豪华版
,,,,,,
自动,扬州,16.81万公里,9.20,4年11个月,国五,斯巴鲁-森林人 2017款 2.0i 豪华导航版
自动,宁波,12.33万公里,13.00,3年7个月,国五,斯巴鲁-森林人 2019款 2.0i 豪华版EyeSight
自动,佛山,18.99万公里,5.58,12年9个月,国三,斯巴鲁-森林人 2006款 2.5XT 自动豪华版
自动,北京,7.49万公里,7.80,8年10个月,国四,斯巴鲁-森林人 2013款 2.0i 自动豪华版
自动,青岛,11.69万公里,5.00,11年7个月,国四,斯巴鲁-森林人 2010款 2.5XS 自动豪华版
自动,广州,21.60万公里,6.00,11年4个月,国四,斯巴鲁-傲虎 2011款 2.5i豪华版
自动,德阳,13.10万公里,5.58,11年7个月,国四,斯巴鲁-傲虎 2011款 2.5i豪华版
,,,,,,
自动,临沂,13.94万公里,4.80,11年4个月,国四,斯巴鲁-森林人 2010款 2.5XS 自动豪华版
自动,成都,6.94万公里,12.60,4年8个月,国五,斯巴鲁-森林人 2017款 2.0i 时尚导航版
自动,广州,8.56万公里,14.20,3年10个月,国五,斯巴鲁-森林人 2016款 2.0i 时尚导航版
自动,沈阳,6.91万公里,5.00,12年10个月,国三,斯巴鲁-森林人 2009款 2.5XS 自动豪华版
自动,北京,19.63万公里,5.80,10年2个月,国四,斯巴鲁-傲虎 2012款 2.5i运动导航版
手动,荆州,4.47万公里,19.50,6年9个月,国四,斯巴鲁-斯巴鲁BRZ 2015款 2.0i 手动版
自动,成都,11.34万公里,7.50,7年7个月,国四,斯巴鲁-森林人 2013款 2.0i 自动豪华版
自动,合肥,14.79万公里,4.00,13年4个月,国三,斯巴鲁-力狮 2007款 2.0R
,,,,,,
,,,,,,
,,,,,,
自动,广州,13.84万公里,15.00,6年10个月,国五,斯巴鲁-傲虎 2015款 2.5i 豪华导航版
,,,,,,
,,,,,,
自动,成都,11.67万公里,8.60,8年1个月,国四,斯巴鲁-森林人 2013款 2.5i 自动尊贵版
自动,东莞,22.65万公里,4.30,11年5个月,国四,斯巴鲁-傲虎 2010款 2.5i豪华版
自动,成都,11.25万公里,5.80,8年11个月,国四,斯巴鲁-斯巴鲁XV 2012款 2.0i 精英版
,,,,,,
自动,大连,16.45万公里,6.00,12年2个月,国三,斯巴鲁-傲虎 2010款 2.5i豪华版
自动,成都,2.16万公里,14.08,4年,国五,斯巴鲁-力狮 2016款 2.5i 全驱风尚版
自动,青岛,12.80万公里,9.50,8年1个月,国四,斯巴鲁-森林人 2013款 2.0i 自动舒适版
自动,沈阳,9.11万公里,8.00,8年2个月,国四,斯巴鲁-森林人 2013款 2.0i 自动豪华版
,,,,,,
自动,成都,12.20万公里,4.68,11年5个月,国四,斯巴鲁-森林人 2010款 2.5XS 自动豪华版
,,,,,,
自动,昆明,9.05万公里,7.28,9年7个月,国四,斯巴鲁-森林人 2012款 经典 2.5XS 自动豪华版
自动,南京,11.21万公里,6.80,12年10个月,国四,斯巴鲁-翼豹 2006款 2.0R 两厢运动版
自动,杭州,18.77万公里,3.00,13年1个月,国四,斯巴鲁-森林人 2006款 2.0XS 豪华导航版
,,,,,,
,,,,,,
自动,衡水,24.21万公里,5.20,11年9个月,国四,斯巴鲁-傲虎 2010款 2.5i豪华版
,,,,,,
自动,天津,11.83万公里,8.00,10年5个月,国四,斯巴鲁-森林人 2012款 经典 2.5XS 自动运动版
,,,,,,
,,,,,,
自动,深圳,12.29万公里,12.80,10年1个月,国四,斯巴鲁-森林人 2012款 经典 2.5T S-EDITION自动豪华导航版
自动,绍兴,19.32万公里,3.20,12年11个月,国四,斯巴鲁-森林人 2006款 2.5XT 豪华导航版
自动,宁波,7.68万公里,8.50,5年6个月,国五,斯巴鲁-斯巴鲁XV 2017款 2.0i 舒适导航版
自动,德州,7.59万公里,9.50,6年5个月,国五,斯巴鲁-力狮 2017款 2.5i 全驱荣耀版
手动,宿州,5.55万公里,16.00,6年10个月,国五,斯巴鲁-斯巴鲁BRZ 2015款 2.0i 手动版
,,,,,,
,,,,,,
,,,,,,
自动,天津,21.61万公里,3.00,13年6个月,国四,斯巴鲁-森林人 2006款 2.0XS 自动豪华版
,,,,,,
自动,武汉,10.29万公里,5.00,13年,国三,斯巴鲁-傲虎 2007款 2.5i
,,,,,,
,,,,,,
,,,,,,
自动,北京,21.15万公里,4.85,14年,国四,斯巴鲁-驰鹏 2006款 3.7R
手动,江门,19.07万公里,6.38,8年8个月,国四,斯巴鲁-森林人 2013款 2.0i 手动豪华版
自动,江门,10.14万公里,11.00,6年8个月,国五,斯巴鲁-森林人 2015款 2.0i 特装纪念版
自动,开封,14.02万公里,11.50,6年6个月,国四,斯巴鲁-傲虎 2015款 2.5i 豪华导航版
,,,,,,
自动,重庆,19.67万公里,6.00,8年4个月,国四,斯巴鲁-斯巴鲁XV 2014款 2.0i 舒适版
,,,,,,
,,,,,,
,,,,,,
自动,郑州,18.30万公里,6.00,10年9个月,国四,斯巴鲁-傲虎 2011款 2.5i豪华导航版
自动,广州,16.98万公里,10.00,7年2个月,国五,斯巴鲁-森林人 2013款 2.5i 自动尊贵版
自动,深圳,28.72万公里,4.50,9年8个月,国四,斯巴鲁-傲虎 2012款 2.5i运动版
自动,西安,17.93万公里,4.88,11年5个月,国四,斯巴鲁-傲虎 2011款 2.5i豪华版
自动,北京,8.71万公里,8.50,9年4个月,国四,斯巴鲁-森林人 2013款 2.5i 自动尊贵版
,,,,,,
自动,深圳,9.25万公里,10.50,6年5个月,国五,斯巴鲁-森林人 2015款 2.0i 特装纪念版
,,,,,,
,,,,,,
,,,,,,
自动,昆明,10.59万公里,10.00,7年6个月,国五,斯巴鲁-森林人 2015款 2.5i 特装纪念版
自动,成都,11.88万公里,8.00,8年4个月,国四,斯巴鲁-傲虎 2013款 2.5i 豪华版
自动,大连,12.23万公里,12.80,10年,国四,斯巴鲁-力狮 2010款 2.5GT豪华导航版
,,,,,,
手动,合肥,2.39万公里,25.30,2年10个月,国六,斯巴鲁-斯巴鲁BRZ 2020款 2.0L 手动type-RS版
自动,郑州,17.51万公里,7.90,8年10个月,国四,斯巴鲁-森林人 2013款 2.0T 自动尊贵导航版
自动,西安,3.88万公里,17.00,6年8个月,国四,斯巴鲁-斯巴鲁BRZ 2013款 2.0i 自动豪华型
,,,,,,
自动,成都,6.80万公里,15.80,3年,国五,斯巴鲁-森林人 2019款 2.0i 豪华版EyeSight
自动,珠海,18.99万公里,4.60,12年7个月,国四,斯巴鲁-森林人 2009款 2.5XS 自动豪华版
,,,,,,
自动,武汉,12.01万公里,2.80,14年5个月,国三,斯巴鲁-森林人 2008款 2.0X AT
,,,,,,
自动,景德镇,25.41万公里,11.00,6年6个月,国五,斯巴鲁-傲虎 2015款 2.5i 运动导航版
